a1:2, a3:5, m: 1, u0: 1

i: RK, Exact, inaccuracy
0: 1, 1, 0
1: 0.934582, 1, 0.0654177
2: 0.878565, 0.935422, 0.0568575
3: 0.829819, 0.879938, 0.0501189
4: 0.786841, 0.831534, 0.0446928
5: 0.748534, 0.788775, 0.0402407
6: 0.714076, 0.750606, 0.0365294
7: 0.682837, 0.71623, 0.0333936
8: 0.654323, 0.685035, 0.0307127
9: 0.628142, 0.65654, 0.0283973
10: 0.60398, 0.63036, 0.0263794
11: 0.581578, 0.606185, 0.0246067
12: 0.560723, 0.583761, 0.0230381
13: 0.541236, 0.562877, 0.0216411
14: 0.522968, 0.543358, 0.0203897
15: 0.505792, 0.525055, 0.0192628
16: 0.489599, 0.507842, 0.0182431
17: 0.474295, 0.491611, 0.0173161
18: 0.459797, 0.476268, 0.0164701
19: 0.446037, 0.461732, 0.015695
20: 0.43295, 0.447932, 0.0149824
21: 0.420482, 0.434808, 0.0143251
22: 0.408586, 0.422303, 0.013717
23: 0.397216, 0.410369, 0.0131527
24: 0.386336, 0.398964, 0.0126278
25: 0.37591, 0.388048, 0.0121383
26: 0.365907, 0.377587, 0.0116807
27: 0.356299, 0.367551, 0.011252
28: 0.347062, 0.357911, 0.0108495
29: 0.338171, 0.348642, 0.0104709
30: 0.329606, 0.33972, 0.0101141
31: 0.321348, 0.331126, 0.00977724
32: 0.31338, 0.322839, 0.0094587
33: 0.305685, 0.314842, 0.009157
34: 0.298248, 0.307119, 0.00887082
35: 0.291056, 0.299655, 0.00859897
36: 0.284097, 0.292438, 0.00834038
37: 0.277359, 0.285453, 0.00809408
38: 0.270831, 0.27869, 0.00785921
39: 0.264502, 0.272137, 0.00763496
40: 0.258365, 0.265786, 0.00742061
41: 0.25241, 0.259625, 0.00721551
42: 0.246629, 0.253648, 0.00701906
43: 0.241014, 0.247845, 0.0068307
44: 0.235559, 0.242209, 0.00664994
45: 0.230257, 0.236733, 0.00647631
46: 0.225102, 0.231411, 0.00630938
47: 0.220087, 0.226236, 0.00614877
48: 0.215208, 0.221202, 0.00599411
49: 0.210458, 0.216304, 0.00584508
50: 0.205835, 0.211536, 0.00570135
51: 0.201331, 0.206894, 0.00556265
52: 0.196944, 0.202373, 0.00542871
53: 0.19267, 0.197969, 0.00529929
54: 0.188503, 0.193677, 0.00517415
55: 0.184441, 0.189494, 0.00505308
56: 0.18048, 0.185416, 0.00493589
57: 0.176616, 0.181439, 0.00482238
58: 0.172847, 0.17756, 0.00471239
59: 0.16917, 0.173775, 0.00460575
60: 0.165581, 0.170083, 0.00450231
61: 0.162077, 0.166479, 0.00440193
62: 0.158657, 0.162961, 0.00430448
63: 0.155317, 0.159527, 0.00420982
64: 0.152056, 0.156174, 0.00411785
65: 0.14887, 0.152898, 0.00402844
66: 0.145758, 0.149699, 0.0039415
67: 0.142717, 0.146574, 0.00385693
68: 0.139746, 0.143521, 0.00377463
69: 0.136843, 0.140537, 0.00369451
70: 0.134005, 0.137621, 0.0036165
71: 0.131231, 0.134771, 0.00354052
72: 0.128518, 0.131985, 0.00346648
73: 0.125867, 0.129261, 0.00339432
74: 0.123274, 0.126598, 0.00332397
75: 0.120738, 0.123994, 0.00325537
76: 0.118259, 0.121447, 0.00318846
77: 0.115833, 0.118956, 0.00312318
78: 0.113461, 0.11652, 0.00305948
79: 0.11114, 0.114137, 0.0029973
80: 0.108869, 0.111805, 0.00293659
81: 0.106647, 0.109524, 0.00287731
82: 0.104473, 0.107293, 0.00281942
83: 0.102346, 0.105109, 0.00276286
84: 0.100264, 0.102972, 0.0027076
85: 0.0982268, 0.10088, 0.0026536
86: 0.0962327, 0.0988336, 0.00260082
87: 0.094281, 0.0968302, 0.00254922
88: 0.0923704, 0.0948692, 0.00249878
89: 0.0905002, 0.0929497, 0.00244945
90: 0.0886694, 0.0910706, 0.00240121
91: 0.086877, 0.089231, 0.00235402
92: 0.0851222, 0.08743, 0.00230786
93: 0.083404, 0.0856667, 0.0022627
94: 0.0817217, 0.0839402, 0.0022185
95: 0.0800744, 0.0822497, 0.00217526
96: 0.0784614, 0.0805943, 0.00213293
97: 0.0768818, 0.0789733, 0.0020915
98: 0.0753349, 0.0773859, 0.00205094
99: 0.07382, 0.0758313, 0.00201123
100: 0.0723364, 0.0743088, 0.00197235
101: 0.0708834, 0.0728176, 0.00193427
102: 0.0694602, 0.0713572, 0.00189699
103: 0.0680663, 0.0699268, 0.00186047
104: 0.066701, 0.0685257, 0.00182471
105: 0.0653637, 0.0671534, 0.00178967
106: 0.0640538, 0.0658091, 0.00175535
107: 0.0627706, 0.0644923, 0.00172172
108: 0.0615136, 0.0632024, 0.00168878
109: 0.0602823, 0.0619388, 0.00165649
110: 0.059076, 0.0607009, 0.00162486
111: 0.0578943, 0.0594882, 0.00159387
112: 0.0567367, 0.0583001, 0.00156349
113: 0.0556025, 0.0571362, 0.00153371
114: 0.0544913, 0.0559959, 0.00150453
115: 0.0534027, 0.0548786, 0.00147593
116: 0.0523361, 0.053784, 0.00144789
117: 0.0512912, 0.0527116, 0.00142041
118: 0.0502673, 0.0516608, 0.00139346
119: 0.0492641, 0.0506312, 0.00136705
120: 0.0482812, 0.0496224, 0.00134115
121: 0.0473182, 0.0486339, 0.00131576
122: 0.0463745, 0.0476654, 0.00129087
123: 0.0454499, 0.0467164, 0.00126646
124: 0.0445439, 0.0457864, 0.00124253
125: 0.0436561, 0.0448752, 0.00121905
126: 0.0427862, 0.0439822, 0.00119604
127: 0.0419338, 0.0431073, 0.00117347
128: 0.0410985, 0.0422498, 0.00115133
129: 0.04028, 0.0414096, 0.00112963
130: 0.0394779, 0.0405862, 0.00110834
131: 0.0386919, 0.0397793, 0.00108746
132: 0.0379217, 0.0389886, 0.00106698
133: 0.0371669, 0.0382138, 0.00104689
134: 0.0364272, 0.0374544, 0.00102719
135: 0.0357024, 0.0367102, 0.00100787
136: 0.034992, 0.0359809, 0.000988913
137: 0.0342959, 0.0352662, 0.000970321
138: 0.0336137, 0.0345658, 0.000952083
139: 0.0329452, 0.0338794, 0.000934192
140: 0.03229, 0.0332067, 0.000916643
141: 0.0316479, 0.0325474, 0.000899427
142: 0.0310187, 0.0319012, 0.000882538
143: 0.030402, 0.031268, 0.00086597
144: 0.0297976, 0.0306474, 0.000849716
145: 0.0292053, 0.0300391, 0.000833771
146: 0.0286249, 0.029443, 0.000818127
147: 0.028056, 0.0288588, 0.00080278
148: 0.0274984, 0.0282862, 0.000787723
149: 0.026952, 0.027725, 0.000772951
150: 0.0264165, 0.027175, 0.000758458
151: 0.0258917, 0.0266359, 0.000744239
152: 0.0253773, 0.0261076, 0.000730288
153: 0.0248731, 0.0255897, 0.000716601
154: 0.0243791, 0.0250822, 0.000703171
155: 0.0238948, 0.0245848, 0.000689995
156: 0.0234202, 0.0240973, 0.000677066
157: 0.0229551, 0.0236195, 0.000664382
158: 0.0224992, 0.0231511, 0.000651936
159: 0.0220524, 0.0226921, 0.000639724
160: 0.0216145, 0.0222422, 0.000627741
161: 0.0211853, 0.0218013, 0.000615984
162: 0.0207646, 0.0213691, 0.000604448
163: 0.0203523, 0.0209455, 0.000593129
164: 0.0199482, 0.0205303, 0.000582022
165: 0.0195522, 0.0201233, 0.000571124
166: 0.019164, 0.0197245, 0.00056043
167: 0.0187836, 0.0193335, 0.000549937
168: 0.0184107, 0.0189504, 0.000539641
169: 0.0180452, 0.0185748, 0.000529538
170: 0.017687, 0.0182067, 0.000519624
171: 0.017336, 0.0178459, 0.000509896
172: 0.0169919, 0.0174922, 0.000500351
173: 0.0166546, 0.0171456, 0.000490984
174: 0.0163241, 0.0168058, 0.000481793
175: 0.0160001, 0.0164728, 0.000472774
176: 0.0156825, 0.0161464, 0.000463923
177: 0.0153713, 0.0158265, 0.000455239
178: 0.0150662, 0.0155129, 0.000446717
179: 0.0147672, 0.0152056, 0.000438355
180: 0.0144742, 0.0149043, 0.000430149
181: 0.0141869, 0.014609, 0.000422097
182: 0.0139054, 0.0143196, 0.000414195
183: 0.0136295, 0.0140359, 0.000406442
184: 0.013359, 0.0137579, 0.000398833
185: 0.0130939, 0.0134853, 0.000391367
186: 0.0128341, 0.0132182, 0.00038404
187: 0.0125795, 0.0129563, 0.00037685
188: 0.0123299, 0.0126997, 0.000369795
189: 0.0120852, 0.0124481, 0.000362872
190: 0.0118454, 0.0122015, 0.000356078
191: 0.0116104, 0.0119598, 0.000349411
192: 0.01138, 0.0117229, 0.000342869
193: 0.0111543, 0.0114907, 0.000336449
194: 0.010933, 0.0112631, 0.00033015
195: 0.010716, 0.01104, 0.000323967
196: 0.0105034, 0.0108213, 0.000317901
197: 0.0102951, 0.010607, 0.000311948
198: 0.0100908, 0.0103969, 0.000306106
199: 0.00989061, 0.010191, 0.000300374
200: 0.00969439, 0.00998914, 0.000294748
201: 0.00950207, 0.00979129, 0.000289228
202: 0.00931356, 0.00959737, 0.000283811
203: 0.00912879, 0.00940729, 0.000278495
204: 0.00894769, 0.00922097, 0.000273278
205: 0.00877018, 0.00903834, 0.000268159
206: 0.0085962, 0.00885934, 0.000263136
207: 0.00842567, 0.00868388, 0.000258207
208: 0.00825852, 0.00851189, 0.000253369
209: 0.00809469, 0.00834332, 0.000248623
210: 0.00793412, 0.00817808, 0.000243964
211: 0.00777672, 0.00801612, 0.000239393
212: 0.00762245, 0.00785736, 0.000234908
213: 0.00747125, 0.00770175, 0.000230506
214: 0.00732304, 0.00754923, 0.000226186
215: 0.00717777, 0.00739972, 0.000221948
216: 0.00703539, 0.00725318, 0.000217788
217: 0.00689583, 0.00710954, 0.000213706
218: 0.00675904, 0.00696874, 0.000209701
219: 0.00662496, 0.00683073, 0.00020577
220: 0.00649355, 0.00669546, 0.000201913
221: 0.00636474, 0.00656287, 0.000198128
222: 0.00623849, 0.0064329, 0.000194414
223: 0.00611474, 0.00630551, 0.000190769
224: 0.00599345, 0.00618064, 0.000187192
225: 0.00587456, 0.00605824, 0.000183682
226: 0.00575803, 0.00593827, 0.000180238
227: 0.00564382, 0.00582067, 0.000176859
228: 0.00553187, 0.00570541, 0.000173542
229: 0.00542214, 0.00559242, 0.000170288
230: 0.00531458, 0.00548168, 0.000167094
231: 0.00520917, 0.00537313, 0.00016396
232: 0.00510584, 0.00526672, 0.000160885
233: 0.00500456, 0.00516243, 0.000157867
234: 0.00490529, 0.0050602, 0.000154905
235: 0.00480799, 0.00495999, 0.000151999
236: 0.00471263, 0.00486177, 0.000149148
237: 0.00461915, 0.0047655, 0.00014635
238: 0.00452753, 0.00467113, 0.000143604
239: 0.00443772, 0.00457863, 0.000140909
240: 0.0043497, 0.00448796, 0.000138265
241: 0.00426342, 0.00439909, 0.00013567
242: 0.00417885, 0.00431198, 0.000133124
243: 0.00409597, 0.00422659, 0.000130626
244: 0.00401472, 0.0041429, 0.000128174
245: 0.00393509, 0.00406086, 0.000125768
246: 0.00385704, 0.00398044, 0.000123408
247: 0.00378053, 0.00390162, 0.000121091
248: 0.00370555, 0.00382436, 0.000118818
249: 0.00363205, 0.00374863, 0.000116587
250: 0.00356, 0.0036744, 0.000114398
251: 0.00348939, 0.00360164, 0.00011225
252: 0.00342018, 0.00353032, 0.000110143
253: 0.00335234, 0.00346042, 0.000108074
254: 0.00328585, 0.00339189, 0.000106045
